Case,Date,Event,f=1,f=2,f=3,f=4,Injured,Fatalities,Fame,,Case,Date,Event,f=1,f=2,f=3,f=4,Injured,Fatalities,Fame,,Case,Date,Event,f=1,f=2,f=3,f=4,Injured,Fatalities,Fame
1,8/1/1966,University of Texas tower shooting,~,~,~,~,30,17,~,,66,12/3/1997,Erie Manufacturing plant shooting,1.06,1.62,1.09,1.31,0,4,12,,131,8/5/2012,Sikh temple of Wisconsin shooting,3.74,4.12,0.97,0.80,3,6,110
2,11/12/1966,Rose-Mar College of Beauty shooting,1.32,3.32,2.00,1.58,2,5,~,,67,12/18/1997,Caltrans Maintenance Yard shooting,1.04,1.58,1.06,0.77,2,4,~,,132,9/27/2012,Accent Signage Systems shooting,0.95,1.77,1.16,0.79,1,6,~
3,10/23/1967,Hammermill Paper Co. shooting,2.58,3.46,1.32,1.00,6,6,~,,68,3/6/1998,Conneticut Lottery shooting,1.02,1.55,1.04,0.75,1,4,~,,133,12/14/2012,Sandy Hook Elementary School shooting,3.77,4.14,1.15,1.26,2,27,2204.5
4,3/16/1968,Ironwood Township shooting,1.81,3.58,1.58,0.74,2,7,~,,69,3/24/1998,Westside Middle School shooting,4.17,4.68,1.02,1.32,10,5,~,,134,3/13/2013,Mohawk Valley shootings,1.64,2.63,0.98,0.79,2,4,~
5,4/5/1969,Pennsylvania Turnpike shooting,1.42,3.70,1.22,0.58,16,4,9,,70,5/21/1998,Thurston High School shooting,3.87,4.29,1.00,1.29,25,4,61,,135,4/21/2013,Pinewood Village Apartments shooting,0.96,3.25,0.97,0.78,0,4,~
6,9/23/1970,New York Department of Labor shooting,1.58,2.81,1.42,0.49,0,4,~,,71,3/10/1999,New St. John Fellowship Baptist Church shooting,1.04,5.30,1.15,0.78,4,4,~,,136,6/7/2013,Santa Monica College shooting,1.63,4.36,1.15,0.78,3,5,48
7,5/29/1972,North Hills Shopping Mall shooting,1.32,2.91,1.17,0.42,8,4,~,,72,4/20/1999,Columbine High School shooting,3.64,4.00,1.00,1.28,24,13,5387,,137,7/26/2013,Todel Apartments shooting,1.61,3.18,0.97,0.77,0,6,11
8,6/21/1972,Heritage Building shooting,1.46,2.42,1.32,0.36,6,6,~,,73,6/3/1999,Albertson's supermarket shooting,1.39,2.88,1.14,0.78,1,4,9,,138,9/16/2013,The Washington Navy Yard shooting,0.97,4.60,4.81,0.76,8,12,105
9,1/7/1973,Howard Johnson's shooting,3.58,4.09,1.14,2.32,10,7,62,,74,7/29/1999,Day-trading firms shooting,1.06,1.60,1.00,1.27,13,12,0,,139,2/20/2014,Cedarville Rancheria Tribal Office shooting,0.96,4.39,1.16,0.75,2,4,~
10,2/10/1973,Henry Cowell State Park shooting,1.38,3.17,1.00,0.46,4,4,~,,75,9/15/1999,Wedgwood Baptist Church shooting,4.70,4.79,1.14,0.79,7,7,16,,140,5/23/2014,Santa Barbara County shooting,3.70,4.21,0.98,1.31,13,6,~
11,3/2/1975,Ship Ashore Motel and Resort shooting,1.22,3.25,1.38,0.42,1,5,~,,76,11/2/1999,Xerox Engineering Systems shootings,1.06,1.58,1.00,1.27,0,7,~,,141,10/24/2014,Marysville-Pilchuck High School shooting,3.71,4.05,1.16,1.29,1,4,56
12,7/12/1976,California State University at Fullerton shooting,3.91,3.32,1.22,0.38,2,7,27,,77,12/30/1999,Raddison Bay Harbor shooting,1.04,3.82,0.98,0.79,3,5,~,,142,6/17/2015,Emanuel African Methodist Episcopal Church shooting,3.59,4.06,0.98,1.28,1,9,1229
13,2/14/1977,Neptune Worldwide Moving Co. shooting,3.00,2.39,1.10,2.22,4,5,~,,78,3/20/2000,Mi-T-Fine Car Wash shooting,1.02,1.57,1.15,0.78,0,5,~,,143,7/16/2015,Recruiting and Naval Reserve centers shooting,3.49,4.24,4.59,1.26,1,5,55
14,7/23/1977,Uncle Albert nightclub shooting,1.77,3.46,1.00,1.91,2,6,~,,79,4/28/2000,Mount Lebanon shooting,4.36,3.64,0.98,0.77,1,5,~,,144,10/1/2015,Umpqua Community College shooting,3.61,4.08,1.17,0.79,7,9,152
15,8/26/1977,Erie Lackwanna Railroad shooting,1.36,2.94,1.28,0.54,0,6,~,,80,12/26/2000,Edgewater Technology shooting,1.02,1.55,0.97,0.75,0,7,21,,145,11/15/2015,Tennessee Colony campsite shooting,1.00,3.67,0.99,0.78,0,6,~
16,6/17/1978,Lee's Cathay Terrace shooting,1.66,2.26,1.17,0.50,0,5,~,,81,1/9/2001,convenience store owner shooting,1.00,2.89,1.17,0.74,0,4,~,,146,12/2/2015,Inland Regional Center shooting,3.41,1.87,1.17,0.77,21,14,415
17,2/3/1980,Starburst Lounge shooting,1.32,3.06,1.08,0.47,3,5,~,,82,2/5/2001,Navistar International shooting,0.98,1.54,0.97,0.73,4,4,~,,147,2/20/2016,Cracker Barrel shooting,1.67,3.03,0.99,0.77,2,6,~
18,6/22/1980,First Baptist Church shooting,1.58,4.70,1.00,0.44,10,5,~,,83,7/3/2001,Bookcliff RV Park shooting,1.52,2.81,1.16,1.35,3,4,~,,148,3/9/2016,Franklin Avenue cookout shooting,1.65,3.58,0.98,0.76,3,6,~
19,7/21/1980,Coraopolis sniper shooting,1.29,3.17,0.93,0.42,1,4,~,,84,9/8/2001,Burns International Security shooting,0.98,1.52,0.97,1.32,2,5,~,,149,6/12/2016,Pulse nightclub shooting,3.34,2.97,1.17,1.30,53,49,892
20,5/7/1981,Oregon Museum Tavern shooting,1.20,2.81,1.29,0.39,18,5,5,,85,3/22/2002,Bertrand Products shooting,0.97,1.49,0.95,0.75,2,4,~,,150,6/29/2016,Walgreens Parking Lot shooting,1.03,3.50,0.98,0.76,0,4,~
21,10/16/1981,Mountain Auto-Truck Parts Store shooting,1.58,3.27,0.94,0.37,3,5,~,,86,2/25/2003,Labor Ready shooting,1.52,2.75,1.17,0.74,1,4,~,,151,7/7/2016,Police protest march shooting,3.27,3.41,0.97,1.29,9,5,~
22,5/3/1982,Russian Jack Springs Park shooting,1.18,2.91,0.88,0.35,0,4,3,,87,7/8/2003,Lockheed Martin shooting,0.97,1.48,0.95,1.33,8,6,12,,152,9/23/2016,Cascades Mall Macy's shooting,1.66,2.74,0.96,0.77,0,5,20
23,8/9/1982,Western Transfer Co. shooting,1.53,2.37,1.32,0.34,4,6,3,,88,8/27/2003,Windy City Core Supply shooting,0.95,1.46,0.94,1.31,0,6,~,,153,1/6/2017,Fort Lauderdale-Hollywood International Airport shooting,1.64,2.69,4.47,0.76,6,5,37
24,8/20/1982,Bob Moore's Welding and Machine Service shooting,1.43,3.00,0.89,2.32,3,8,9,,89,10/24/2003,Stateline Tavern shooting,0.94,3.14,1.19,0.76,0,4,~,,154,2/6/2017,Club 66 shooting,1.62,2.95,1.20,0.75,0,4,~
25,2/3/1983,the Belleclaire hotel shooting,1.35,2.24,1.30,0.38,1,4,~,,90,7/3/2004,ConAgra Foods Plant shooting,0.92,1.44,0.94,0.75,1,5,~,,155,3/22/2017,Marathon Savings Bank shooting,1.06,2.65,1.19,1.31,0,4,~
